date,ticker,price
2024-01-01,AAPL,150.582350695188
2024-01-02,AAPL,149.76469370578633
2024-01-03,AAPL,149.7240639887827
2024-01-04,AAPL,148.67189822066558
2024-01-05,AAPL,148.59041227482365
2024-01-06,AAPL,147.51388012272727
2024-01-07,AAPL,147.3089624527396
2024-01-08,AAPL,146.30348752228895
2024-01-09,AAPL,146.6837465877959
2024-01-10,AAPL,148.26387975485486
2024-01-11,AAPL,148.15466062744528
2024-01-12,AAPL,148.15749378054005
2024-01-13,AAPL,148.09346016505566
2024-01-14,AAPL,148.19346028857012
2024-01-15,AAPL,150.06861663158807
2024-01-16,AAPL,150.55931190842034
2024-01-17,AAPL,148.8691331899138
2024-01-18,AAPL,149.83857839833018
2024-01-19,AAPL,150.02638438393313
2024-01-20,AAPL,148.16980609511162
